measureID,Appliances,lights
1,60,30
2,60,30
3,50,30
4,50,40
5,60,40
6,50,40
7,60,50
8,60,50
9,60,40
10,70,40
11,230,70
12,580,60
13,430,50
14,250,40
15,100,10
16,100,10
17,90,10
18,70,30
19,80,30
20,140,40
21,120,20
22,190,40
23,110,40
24,110,40
25,110,30
26,110,20
27,100,30
28,100,20
29,100,20
30,100,20
31,110,20
32,400,20
33,400,20
34,390,30
35,240,20
36,60,20
37,60,20
38,60,20
39,50,10
40,70,20
41,60,20
42,40,20
43,40,10
44,30,20
45,40,20
46,50,20
47,310,10
48,380,20
49,380,20
50,370,20
51,120,10
52,50,0
53,40,0
54,50,0
55,40,0
56,50,0
57,50,0
58,50,0
59,40,0
60,40,0
61,30,0
62,20,0
63,20,0
64,40,0
65,50,0
66,50,0
67,40,0
68,50,0
69,40,0
70,40,0
71,40,0
72,60,0
73,50,0
74,50,0
75,40,0
76,40,0
77,40,0
78,40,0
79,50,0
80,70,10
81,40,0
82,30,0
83,20,10
84,30,0
85,40,10
86,50,10
87,60,20
88,60,20
89,70,20
90,60,30
91,140,20
92,110,30
93,90,10
94,60,0
95,60,0
96,60,0
97,50,0
98,60,0
99,50,0
100,30,0
101,40,0
102,30,0
103,260,0
104,500,0
105,450,0
106,50,10
107,60,0
108,60,0
109,50,0
110,50,0
111,50,0
112,60,0
113,60,0
114,60,0
115,60,0
116,190,0
117,220,0
118,170,0
119,390,0
120,90,0
121,60,0
122,290,0
123,130,0
124,140,0
125,240,0
126,50,0
127,60,0
128,60,0
129,60,0
130,370,0
131,200,0
132,70,0
133,50,0
134,40,0
135,40,0
136,30,0
137,30,0
138,30,0
139,30,0
140,40,0
141,50,0
142,40,0
143,40,0
144,40,0
145,60,0
146,60,10
147,210,20
148,380,20
149,370,40
150,230,30
151,80,40
152,90,30
153,70,20
154,40,10
155,40,0
156,30,0
157,50,0
158,50,0
159,60,0
160,50,0
161,60,0
162,60,0
163,60,0
164,50,0
165,50,0
166,50,0
167,50,0
168,50,0
169,60,0
170,60,0
171,40,0
172,30,0
173,30,20
174,30,10
175,40,0
176,50,10
177,50,0
178,50,0
179,40,0
180,50,0
181,40,0
182,40,0
183,40,0
184,40,0
185,50,0
186,50,0
187,50,0
188,30,0
189,20,0
190,30,0
191,20,0
192,40,0
193,50,0
194,60,0
195,50,0
196,40,0
197,40,0
198,50,0
199,40,0
200,40,0
201,50,0
202,50,0
203,50,0
204,40,0
205,30,0
206,20,0
207,20,0
208,20,0
209,50,0
210,50,0
211,50,0
212,40,0
213,40,0
214,50,0
215,40,0
216,50,0
217,50,0
218,50,0
219,40,0
220,40,0
221,50,0
222,20,0
223,20,0
224,50,0
225,30,10
226,50,10
227,50,10
228,200,0
229,110,10
230,80,10
231,50,0
232,50,0
233,50,0
234,40,0
235,40,0
236,30,0
237,180,20
238,350,30
239,350,20
240,300,30
241,400,20
242,390,30
243,290,30
244,60,30
245,70,20
246,110,30
247,90,20
248,60,20
249,70,20
250,80,20
251,60,0
252,40,10
253,30,10
254,70,10
255,50,10
256,80,10
257,80,10
258,50,0
259,40,0
260,50,0
261,40,0
262,40,0
263,50,0
264,30,0
265,30,0
266,20,0
267,20,0
268,50,0
269,40,0
270,50,0
271,40,0
272,60,0
273,40,0
274,40,0
275,50,0
276,40,0
277,40,0
278,30,0
279,30,0
280,30,0
281,40,0
282,80,0
283,70,0
284,80,0
285,70,0
286,80,0
287,80,0
288,100,0
289,90,0
290,100,10
291,90,0
292,110,0
293,90,10
294,100,0
295,100,10
296,110,0
297,100,10
298,90,10
299,90,10
300,180,10
301,140,0
302,100,10
303,110,20
304,340,20
305,380,20
306,210,30
307,150,20
308,330,20
309,420,20
310,330,20
311,130,20
312,130,20
313,110,20
314,250,10
315,520,0
316,360,0
317,330,0
318,310,0
319,270,0
320,230,0
321,170,10
322,60,0
323,30,0
324,30,0
325,30,0
326,40,0
327,50,0
328,50,0
329,40,0
330,40,0
331,50,0
332,50,0
333,40,0
334,60,0
335,40,0
336,40,0
337,50,0
338,40,0
339,30,0
340,30,0
341,30,0
342,40,0
343,40,0
344,50,0
345,40,0
346,40,0
347,40,0
348,50,0
349,50,0
350,50,0
351,40,0
352,50,0
353,40,0
354,40,0
355,20,0
356,30,0
357,30,0
358,40,0
359,50,0
360,40,0
361,40,0
362,50,0
363,40,0
364,50,0
365,50,0
366,40,0
367,50,0
368,40,0
369,40,0
370,40,0
371,40,0
372,30,10
373,70,10
374,360,20
375,400,10
376,70,10
377,70,0
378,390,0
379,100,0
380,80,10
381,70,0
382,170,10
383,360,0
384,180,10
385,130,0
386,70,20
387,70,10
388,180,20
389,170,20
390,390,30
391,420,20
392,340,20
393,550,10
394,690,10
395,620,10
396,610,10
397,490,10
398,260,20
399,240,10
400,220,10
401,130,10
402,90,10
403,290,10
404,410,0
405,320,0
406,260,0
407,210,0
408,210,0
409,140,0
410,60,0
411,50,0
412,60,0
413,50,0
414,60,0
415,140,0
416,270,0
417,200,0
418,60,0
419,50,0
420,60,0
421,80,0
422,50,0
423,40,0
424,50,0
425,50,0
426,40,0
427,30,0
428,30,0
429,200,0
430,450,0
431,400,0
432,740,0
433,910,0
434,610,10
435,510,10
436,190,0
437,110,10
438,100,0
439,90,10
440,110,10
441,100,0
442,110,10
443,100,10
444,790,10
445,380,10
446,360,10
447,360,10
448,100,10
449,100,10
450,90,10
451,90,20
452,110,10
453,140,30
454,110,20
455,100,20
456,110,20
457,130,20
458,140,30
459,130,20
460,120,20
461,100,10
462,80,0
463,50,10
464,50,0
465,50,0
466,40,0
467,50,0
468,50,0
469,50,0
470,40,0
471,30,0
472,30,0
473,40,0
474,40,0
475,50,0
476,60,0
477,50,0
478,60,0
479,50,0
480,50,0
481,50,0
482,50,0
483,50,0
484,50,0
485,60,0
486,50,0
487,50,0
488,50,0
489,50,0
490,40,0
491,50,0
492,40,0
493,30,0
494,40,0
495,30,0
496,60,0
497,50,0
498,50,0
499,40,0
500,50,0
501,60,0
502,50,0
503,50,0
504,50,0
505,50,0
506,40,0
507,50,0
508,50,0
509,50,0
510,60,0
511,50,0
512,40,0
513,50,0
514,50,0
515,50,0
516,30,0
517,70,10
518,50,10
519,50,10
520,50,10
521,50,0
522,40,10
523,50,10
524,50,10
525,150,10
526,390,20
527,390,10
528,380,10
529,400,10
530,370,10
531,310,10
532,40,10
533,50,0
534,70,10
535,60,10
536,90,10
537,60,10
538,60,20
539,100,0
540,380,10
541,390,10
542,130,10
543,60,0
544,60,10
545,50,10
546,60,10
547,60,10
548,240,0
549,80,10
550,80,0
551,400,0
552,400,0
553,460,10
554,170,0
555,210,0
556,190,0
557,70,0
558,80,0
559,60,10
560,70,0
561,60,0
562,70,0
563,60,0
564,60,0
565,60,0
566,60,0
567,60,0
568,50,10
569,50,0
570,60,0
571,50,0
572,50,0
573,70,0
574,50,0
575,60,0
576,60,0
577,90,0
578,100,10
579,90,0
580,100,10
581,110,0
582,100,10
583,80,0
584,110,10
585,260,10
586,350,10
587,500,10
588,370,10
589,330,20
590,100,10
591,110,20
592,140,20
593,310,30
594,330,20
595,190,20
596,160,20
597,160,30
598,480,10
599,280,20
600,130,20
601,150,20
602,140,20
603,130,20
604,130,20
605,340,20
606,490,10
607,230,10
608,360,10
609,410,10
610,150,0
611,80,10
612,80,10
613,70,10
614,70,10
615,70,0
616,60,10
617,60,10
618,50,10
619,50,0
620,50,0
621,30,0
622,20,0
623,40,0
624,50,0
625,50,0
626,50,0
627,60,0
628,50,0
629,60,0
630,50,0
631,40,0
632,50,0
633,50,0
634,50,0
635,50,0
636,40,0
637,30,0
638,30,0
639,40,0
640,50,0
641,50,0
642,50,0
643,50,0
644,60,0
645,50,0
646,50,0
647,40,0
648,50,0
649,50,0
650,50,0
651,50,0
652,30,0
653,30,0
654,30,0
655,50,0
656,50,0
657,40,0
658,60,0
659,60,0
660,50,0
661,50,0
662,50,0
663,220,0
664,390,10
665,380,10
666,390,10
667,390,10
668,240,10
669,40,10
670,70,10
671,50,0
672,50,0
673,70,0
674,60,0
675,70,0
676,60,0
677,50,0
678,60,0
679,60,0
680,80,0
681,100,0
682,60,0
683,70,0
684,60,0
685,60,0
686,50,0
687,50,0
688,40,0
689,50,0
690,70,0
691,60,0
692,60,0
693,80,0
694,80,0
695,80,0
696,90,0
697,90,0
698,100,0
699,80,0
700,90,0
701,80,0
702,80,0
703,80,0
704,80,0
705,90,0
706,70,0
707,50,0
708,60,10
709,70,10
710,80,10
711,70,10
712,370,10
713,410,20
714,250,10
715,80,10
716,70,10
717,70,0
718,80,10
719,70,20
720,80,20
721,80,20
722,150,20
723,380,30
724,290,30
725,270,20
726,420,30
727,280,20
728,300,20
729,350,30
730,270,20
731,560,20
732,1080,30
733,750,20
734,390,10
735,350,10
736,340,10
737,290,20
738,230,40
739,120,30
740,110,40
741,100,40
742,110,40
743,130,40
744,140,30
745,110,30
746,100,20
747,100,30
748,110,20
749,110,20
750,190,20
751,450,20
752,210,20
753,100,30
754,90,20
755,90,20
756,80,20
757,70,20
758,70,10
759,70,10
760,60,0
761,30,0
762,30,0
763,30,0
764,40,0
765,50,0
766,60,0
767,50,0
768,50,0
769,50,0
770,50,0
771,50,0
772,50,0
773,50,0
774,60,0
775,50,0
776,60,0
777,50,0
778,40,0
779,30,0
780,30,0
781,30,0
782,60,0
783,50,0
784,60,0
785,50,0
786,50,0
787,50,0
788,40,0
789,60,0
790,50,0
791,60,0
792,50,0
793,50,0
794,40,0
795,50,0
796,50,0
797,30,0
798,40,0
799,30,0
800,50,0
801,50,0
802,40,0
803,50,0
804,50,0
805,170,0
806,400,0
807,390,10
808,370,10
809,390,10
810,370,10
811,380,10
812,100,10
813,90,20
814,470,10
815,320,0
816,270,0
817,260,0
818,230,0
819,470,10
820,400,0
821,290,0
822,100,0
823,90,0
824,90,0
825,90,0
826,90,0
827,100,0
828,80,0
829,180,0
830,440,0
831,300,0
832,250,0
833,280,0
834,460,0
835,120,0
836,120,0
837,110,0
838,130,0
839,110,0
840,120,0
841,120,0
842,120,0
843,130,0
844,120,0
845,120,0
846,410,0
847,420,0
848,140,0
849,60,0
850,60,0
851,70,10
852,80,0
853,100,0
854,80,0
855,80,0
856,70,0
857,80,0
858,80,0
859,90,0
860,80,0
861,80,0
862,80,0
863,80,0
864,80,10
865,90,10
866,130,10
867,380,20
868,800,10
869,790,10
870,540,20
871,120,20
872,110,20
873,160,30
874,140,20
875,550,20
876,530,10
877,100,0
878,100,10
879,90,10
880,90,10
881,100,10
882,130,10
883,110,10
884,120,20
885,100,30
886,110,20
887,100,20
888,120,20
889,250,30
890,110,10
891,110,0
892,150,10
893,110,20
894,50,10
895,40,10
896,50,10
897,50,10
898,70,10
899,60,20
900,60,10
901,70,10
902,50,10
903,70,10
904,60,10
905,70,20
906,60,10
907,60,10
908,50,10
909,40,10
910,30,20
911,40,0
912,50,0
913,50,0
914,40,0
915,50,10
916,40,0
917,40,0
918,40,0
919,60,0
920,50,0
921,50,0
922,40,0
923,40,0
924,20,0
925,30,0
926,20,0
927,50,0
928,60,0
929,40,0
930,50,0
931,40,0
932,40,0
933,50,0
934,50,0
935,40,0
936,50,0
937,40,0
938,50,0
939,30,0
940,20,0
941,30,0
942,30,0
943,50,0
944,80,0
945,40,0
946,50,10
947,40,0
948,70,10
949,100,0
950,60,20
951,50,0
952,40,0
953,40,0
954,40,0
955,20,0
956,20,0
957,30,0
958,50,0
959,50,0
960,40,0
961,40,0
962,40,0
963,40,0
964,50,0
965,50,0
966,50,0
967,40,0
968,40,0
969,20,0
970,20,0
971,30,0
972,40,0
973,50,0
974,50,0
975,40,0
976,40,0
977,50,0
978,40,0
979,40,0
980,50,0
981,40,0
982,50,0
983,40,0
984,20,0
985,20,0
986,30,0
987,40,0
988,50,0
989,50,0
990,50,0
991,40,0
992,40,0
993,40,0
994,40,0
995,40,0
996,50,0
997,50,0
998,30,0
999,20,0
1000,30,0
1001,30,0
1002,40,0
1003,50,0
1004,50,0
1005,50,0
1006,40,0
1007,40,0
1008,50,0
1009,40,0
1010,40,0
1011,40,0
1012,40,0
1013,20,0
1014,30,0
1015,30,10
1016,70,10
1017,230,10
1018,660,10
1019,510,0
1020,300,10
1021,300,20
1022,350,10
1023,90,10
1024,100,0
1025,130,10
1026,200,0
1027,480,0
1028,430,10
1029,630,10
1030,600,10
1031,470,20
1032,740,10
1033,600,0
1034,560,10
1035,440,20
1036,280,10
1037,110,20
1038,80,10
1039,70,20
1040,50,10
1041,50,10
1042,60,20
1043,60,10
1044,50,10
1045,60,20
1046,50,10
1047,50,10
1048,40,20
1049,30,10
1050,40,10
1051,50,20
1052,50,0
1053,50,0
1054,40,0
1055,50,0
1056,40,0
1057,50,0
1058,40,0
1059,50,0
1060,50,0
1061,40,0
1062,40,0
1063,30,0
1064,20,0
1065,20,0
1066,40,0
1067,50,0
1068,40,0
1069,50,0
1070,50,0
1071,40,0
1072,40,0
1073,50,0
1074,50,0
1075,50,0
1076,40,0
1077,50,0
1078,20,0
1079,30,0
1080,10,0
1081,40,0
1082,60,0
1083,40,0
1084,50,0
1085,40,0
1086,40,0
1087,40,0
1088,70,10
1089,50,0
1090,50,0
1091,40,10
1092,30,0
1093,30,10
1094,20,10
1095,50,0
1096,50,0
1097,50,0
1098,50,10
1099,40,0
1100,40,0
1101,50,0
1102,40,0
1103,40,0
1104,40,0
1105,40,0
1106,20,0
1107,30,0
1108,30,0
1109,40,0
1110,40,0
1111,40,0
1112,50,0
1113,50,0
1114,50,0
1115,40,0
1116,40,0
1117,40,0
1118,20,0
1119,20,0
1120,30,0
1121,50,0
1122,40,0
1123,50,0
1124,40,0
1125,40,0
1126,40,0
1127,40,0
1128,50,0
1129,50,0
1130,50,0
1131,30,0
1132,30,0
1133,20,0
1134,20,0
1135,50,0
1136,50,0
1137,50,0
1138,40,0
1139,40,0
1140,40,0
1141,40,0
1142,40,0
1143,50,0
1144,60,0
1145,20,0
1146,20,0
1147,30,0
1148,40,0
1149,40,0
1150,50,0
1151,40,0
1152,50,0
1153,50,0
1154,40,0
1155,40,0
1156,50,0
1157,60,10
1158,190,20
1159,350,10
1160,210,10
1161,140,10
1162,110,10
1163,120,0
1164,120,10
1165,110,10
1166,260,10
1167,550,0
1168,480,10
1169,360,10
1170,360,20
1171,290,10
1172,460,10
1173,570,20
1174,470,20
1175,450,20
1176,450,10
1177,380,20
1178,110,10
1179,110,10
1180,110,20
1181,100,10
1182,110,10
1183,120,0
1184,70,10
1185,50,0
1186,40,0
1187,30,0
1188,30,0
1189,50,0
1190,50,0
1191,50,0
1192,40,0
1193,50,0
1194,40,0
1195,40,0
1196,50,0
1197,40,0
1198,30,0
1199,30,0
1200,30,0
1201,30,0
1202,50,0
1203,40,0
1204,50,0
1205,50,0
1206,50,0
1207,40,0
1208,40,0
1209,40,0
1210,30,0
1211,20,0
1212,20,0
1213,30,0
1214,50,0
1215,50,0
1216,40,0
1217,50,0
1218,40,0
1219,40,0
1220,50,0
1221,50,0
1222,50,0
1223,30,0
1224,30,0
1225,20,0
1226,20,0
1227,40,0
1228,50,0
1229,50,0
1230,50,0
1231,40,0
1232,80,0
1233,40,10
1234,50,0
1235,340,10
1236,150,10
1237,50,0
1238,40,0
1239,60,10
1240,60,0
1241,60,0
1242,50,0
1243,70,0
1244,60,0
1245,60,10
1246,60,10
1247,350,20
1248,360,10
1249,80,10
1250,50,10
1251,60,0
1252,80,10
1253,50,10
1254,80,0
1255,90,10
1256,90,10
1257,70,0
1258,90,10
1259,60,0
1260,70,10
1261,90,0
1262,70,10
1263,110,0
1264,70,0
1265,70,0
1266,80,0
1267,330,10
1268,220,0
1269,70,0
1270,60,0
1271,50,0
1272,60,0
1273,80,0
1274,70,0
1275,80,0
1276,70,0
1277,80,0
1278,70,0
1279,80,0
1280,50,0
1281,40,0
1282,30,0
1283,50,0
1284,80,0
1285,80,0
1286,80,0
1287,70,0
1288,90,0
1289,80,0
1290,80,0
1291,80,0
1292,70,0
1293,60,0
1294,50,0
1295,80,0
1296,80,0
1297,60,0
1298,70,0
1299,340,0
1300,360,0
1301,160,0
1302,120,10
1303,90,0
1304,90,0
1305,90,10
1306,80,0
1307,170,10
1308,830,10
1309,540,30
1310,340,30
1311,410,40
1312,390,30
1313,360,40
1314,330,50
1315,210,40
1316,100,40
1317,160,30
