measureID,Tout,RHout
1,6.6,92.0
2,6.48333333333333,92.0
3,6.36666666666667,92.0
4,6.25,92.0
5,6.133333333333329,92.0
6,6.01666666666667,92.0
7,5.9,92.0
8,5.91666666666667,91.8333333333333
9,5.93333333333333,91.6666666666667
10,5.95,91.5
11,5.96666666666667,91.3333333333333
12,5.98333333333333,91.1666666666667
13,6.0,91.0
14,6.0,90.5
15,6.0,90.0
16,6.0,89.5
17,6.0,89.0
18,6.0,88.5
19,6.0,88.0
20,6.0,87.8333333333333
21,6.0,87.6666666666667
22,6.0,87.5
23,6.0,87.3333333333333
24,6.0,87.1666666666667
25,6.0,87.0
26,5.93333333333333,87.1666666666667
27,5.86666666666667,87.3333333333333
28,5.8,87.5
29,5.73333333333333,87.6666666666667
30,5.66666666666667,87.8333333333333
31,5.6,88.0
32,5.65,87.8333333333333
33,5.7,87.6666666666667
34,5.75,87.5
35,5.8,87.3333333333333
36,5.85,87.1666666666667
37,5.9,87.0
38,5.8,87.8333333333333
39,5.7,88.6666666666667
40,5.6,89.5
41,5.5,90.3333333333333
42,5.4,91.1666666666667
43,5.3,92.0
44,5.26666666666667,92.0
45,5.23333333333333,92.0
46,5.2,92.0
47,5.16666666666667,92.0
48,5.133333333333329,92.0
49,5.1,92.0
50,5.11666666666667,92.0
51,5.133333333333329,92.0
52,5.15,92.0
53,5.16666666666667,92.0
54,5.18333333333333,92.0
55,5.2,92.0
56,5.133333333333329,92.0
57,5.06666666666667,92.0
58,5.0,92.0
59,4.93333333333333,92.0
60,4.86666666666667,92.0
61,4.8,92.0
62,4.81666666666667,92.1666666666667
63,4.8333333333333295,92.3333333333333
64,4.85,92.5
65,4.86666666666667,92.6666666666667
66,4.883333333333329,92.8333333333333
67,4.9,93.0
68,4.91666666666667,92.6666666666667
69,4.93333333333333,92.3333333333333
70,4.95,92.0
71,4.96666666666667,91.6666666666667
72,4.98333333333333,91.3333333333333
73,5.0,91.0
74,4.98333333333333,91.6666666666667
75,4.96666666666667,92.3333333333333
76,4.95,93.0
77,4.93333333333333,93.6666666666667
78,4.91666666666667,94.3333333333333
79,4.9,95.0
80,4.93333333333333,94.6666666666667
81,4.96666666666667,94.3333333333333
82,5.0,94.0
83,5.03333333333333,93.6666666666667
84,5.06666666666667,93.3333333333333
85,5.1,93.0
86,5.1,92.6666666666667
87,5.1,92.3333333333333
88,5.1,92.0
89,5.1,91.6666666666667
90,5.1,91.3333333333333
91,5.1,91.0
92,5.05,91.0
93,5.0,91.0
94,4.95,91.0
95,4.9,91.0
96,4.85,91.0
97,4.8,91.0
98,4.883333333333329,91.0
99,4.96666666666667,91.0
100,5.05,91.0
101,5.133333333333329,91.0
102,5.21666666666667,91.0
103,5.3,91.0
104,5.48333333333333,90.1666666666667
105,5.66666666666667,89.3333333333333
106,5.85,88.5
107,6.03333333333333,87.6666666666667
108,6.21666666666667,86.8333333333333
109,6.4,86.0
110,6.5,85.1666666666667
111,6.6,84.3333333333333
112,6.7,83.5
113,6.8,82.6666666666667
114,6.9,81.8333333333333
115,7.0,81.0
116,7.0833333333333295,80.6666666666667
117,7.16666666666667,80.3333333333333
118,7.25,80.0
119,7.3333333333333295,79.6666666666667
120,7.416666666666669,79.3333333333333
