measureID,Pressure,Windspeed,Visibility,Dewpoint
1,733.5,7.0,63.0,5.3
2,733.6,6.6666666666666705,59.1666666666667,5.2
3,733.7,6.3333333333333295,55.3333333333333,5.1
4,733.7999999999998,6.0,51.5,5.0
5,733.9,5.66666666666667,47.66666666666669,4.9
6,734.0,5.3333333333333295,43.8333333333333,4.8
7,734.1,5.0,40.0,4.7
8,734.1666666666669,5.16666666666667,40.0,4.68333333333333
9,734.233333333333,5.3333333333333295,40.0,4.66666666666667
10,734.2999999999998,5.5,40.0,4.65
11,734.366666666667,5.66666666666667,40.0,4.633333333333329
12,734.4333333333329,5.8333333333333295,40.0,4.61666666666667
13,734.5,6.0,40.0,4.6
14,734.616666666667,6.0,40.0,4.51666666666667
15,734.733333333333,6.0,40.0,4.43333333333333
16,734.85,6.0,40.0,4.35
17,734.966666666667,6.0,40.0,4.26666666666667
18,735.083333333333,6.0,40.0,4.18333333333333
19,735.2,6.0,40.0,4.1
20,735.233333333333,6.0,40.0,4.06666666666667
21,735.266666666667,6.0,40.0,4.03333333333333
22,735.2999999999998,6.0,40.0,4.0
23,735.333333333333,6.0,40.0,3.9666666666666694
24,735.366666666667,6.0,40.0,3.9333333333333296
25,735.4,6.0,40.0,3.9
26,735.466666666667,6.0,40.0,3.86666666666667
27,735.533333333333,6.0,40.0,3.8333333333333295
28,735.6,6.0,40.0,3.8
29,735.6666666666669,6.0,40.0,3.7666666666666706
30,735.733333333333,6.0,40.0,3.7333333333333294
31,735.7999999999998,6.0,40.0,3.7
32,735.8833333333331,6.1666666666666705,40.0,3.7166666666666694
33,735.966666666667,6.3333333333333295,40.0,3.7333333333333294
34,736.0499999999998,6.5,40.0,3.75
35,736.1333333333331,6.6666666666666705,40.0,3.7666666666666706
36,736.216666666667,6.8333333333333295,40.0,3.7833333333333297
37,736.2999999999998,7.0,40.0,3.8
38,736.4,6.8333333333333295,37.0,3.85
39,736.5,6.6666666666666705,34.0,3.9
40,736.6,6.5,31.0,3.95
41,736.7,6.3333333333333295,28.0,4.0
42,736.7999999999998,6.1666666666666705,25.0,4.05
43,736.9,6.0,22.0,4.1
44,737.0,6.0,25.0,4.06666666666667
45,737.1,6.0,28.0,4.03333333333333
46,737.2,6.0,31.0,4.0
47,737.2999999999998,6.0,34.0,3.9666666666666694
48,737.4,6.0,37.0,3.9333333333333296
49,737.5,6.0,40.0,3.9
50,737.6333333333331,5.8333333333333295,40.0,3.9166666666666705
51,737.766666666667,5.66666666666667,40.0,3.9333333333333296
52,737.9,5.5,40.0,3.95
53,738.033333333333,5.3333333333333295,40.0,3.9666666666666694
54,738.1666666666669,5.16666666666667,40.0,3.9833333333333294
55,738.2999999999998,5.0,40.0,4.0
56,738.4,4.8333333333333295,40.0,3.9333333333333296
57,738.5,4.66666666666667,40.0,3.86666666666667
58,738.6,4.5,40.0,3.8
59,738.7,4.3333333333333295,40.0,3.7333333333333294
60,738.7999999999998,4.16666666666667,40.0,3.6666666666666705
61,738.9,4.0,40.0,3.6
62,739.016666666667,4.3333333333333295,40.0,3.6333333333333298
63,739.1333333333331,4.66666666666667,40.0,3.6666666666666705
64,739.25,5.0,40.0,3.7
65,739.366666666667,5.3333333333333295,40.0,3.7333333333333294
66,739.483333333333,5.66666666666667,40.0,3.7666666666666706
67,739.6,6.0,40.0,3.8
68,739.65,5.8333333333333295,40.0,3.7666666666666706
69,739.7,5.66666666666667,40.0,3.7333333333333294
70,739.75,5.5,40.0,3.7
71,739.7999999999998,5.3333333333333295,40.0,3.6666666666666705
72,739.85,5.16666666666667,40.0,3.6333333333333298
73,739.9,5.0,40.0,3.6
74,739.966666666667,4.8333333333333295,40.0,3.6833333333333296
